GEO_ID		CD114	USP_DEM_2016	USP_REP_2016	USP_OTH_2016	USP_MARGIN_2016	USS_DEM_2016	USS_REP_2016	USS_OTH_2016	USS_MARGIN_2016	USC_DEM_2016	USC_REP_2016	USC_OTH_2016	USC_MARGIN_2016	USP_DEM_2012	USP_REP_2012	USP_OTH_2012	USP_MARGIN_2012	USS_DEM_2012	USS_REP_2012	USS_OTH_2012	USS_MARGIN_2012	USC_DEM_2012	USC_REP_2012	USC_OTH_2012	USC_MARGIN_2012	USP_MARGIN_CHANGE	USS_MARGIN_CHANGE	USC_MARGIN_CHANGE		TOTALPOP_2010	TOTALPOP_2015	TOTALPOP_CHANGE			CENSUSAREA	POPDEN_2010	POPDEN_2015	POPDEN_CHANGE		NONWHITE_2010	NONWHITE_2015	NONWHITE_CHANGE	UNEMPLOY_2010	UNEMPLOY_2015	UNEMPLOY_CHANGE	COLLEGE_2010	COLLEGE_2015	COLLEGE_CHANGE	INC_2010	INC_2015	INC_CHANGE
1400000US42001031101		4	542.001	1170.652	88.253	0.349074855	594.479	1087.754	112.905	0.274783888	519.038	1244.796	0	0.411466158	642.073	916.858	36.717	0.172209034	692.79	891.619	0.471	0.125453662	533.56	936.343	93.97	0.257554801	0.176865821	0.149330226	0.153911357		5297	4929	-0.0695			1.161	4562.446167	4245.478036	-6.947328678		3.6	8.4	0.048	3.4	4.7	0.013	11.5	13.3	0.018	43658	44310	0.014934262
1400000US42001031102		4	501.069	1257.174	56.963	0.4165395	523.751	1214.7	74.497	0.381119039	436.184	1335.116	0	0.507498447	606.827	1150.548	32.049	0.303852525	646.772	1127.363	1.845	0.270606088	493.778	1182.223	77.826	0.392538717	0.112686975	0.110512951	0.11495973		3024	3352	0.1085			6.676	452.9658478	502.0970641	10.84656085		0.8	7.1	0.063	3.9	2.2	-0.017	15.8	21.8	0.06	74141	71711	-0.032775387
1400000US42001031201		4	669	1349	67	0.326139089	672	1311	99	0.306916427	576	1450	0	0.431391905	638	1193	28	0.298547606	678	1165	2	0.26395664	523	1190	105	0.366886689	0.027591483	0.042959787	0.064505216		3632	3680	0.0132			26.002	139.681563	141.5275748	1.32158587		1.4	6.6	0.052	3.5	6.8	0.033	28.7	40.3	0.116	61630	70566	0.144994321
1400000US42001031202		4	255	1028	33	0.587386018	268	956	77	0.528823982	223	1060	0	0.652377241	320	867	17	0.454318937	328	865	0	0.450125733	267	862	51	0.504237288	0.133067081	0.078698249	0.148139953		2653	2712	0.0222			10.9	243.3944954	248.8073394	2.22389746		0.8	0	-0.008	3.9	3.4	-0.005	17.4	23.3	0.059	72667	75833	0.043568607
1400000US42001031203		4	311	1155	51	0.556361239	340	1081	79	0.494	283	1198	0	0.617825793	352	983	24	0.464311994	365	987	1	0.459719143	271	985	75	0.536438768	0.092049245	0.034280857	0.081387025		3143	3163	0.0064			17.544	179.1495668	180.2895577	0.636334723		4.1	2.5	-0.016	3.8	8.1	0.043	16.7	20.6	0.039	66563	74000	0.111728738
1400000US42001031300		4	477	1417	103	0.470706059	520	1361	112	0.421976919	439	1497	0	0.546487603	541	1067	30	0.321123321	558	1073	0	0.315757204	412	1080	105	0.418284283	0.149582738	0.106219715	0.12820332		4428	4442	0.0032			1.503	2946.107784	2955.422488	0.316169831		6.6	5.1	-0.015	4	5.3	0.013	14.5	17.8	0.033	50568	55902	0.105481728
1400000US42001031401		4	904	1147	76	0.114245416	879	1188	82	0.143787808	785	1313	0	0.251668255	965	1269	20	0.13487134	1013	1229	0	0.096342551	822	1307	89	0.218665464	-0.020625924	0.047445257	0.033002791		4107	4208	0.0246			11.446	358.8153067	367.63935	2.459215963		10.9	14.5	0.036	3.6	3.7	0.001	36.2	29.9	-0.063	56776	72580	0.278357052
1400000US42001031402		4	637	1101	69	0.256779192	646	1097	78	0.247666118	550	1224	0	0.379932356	468	744	22	0.223662885	498	732	0	0.190243902	380	755	71	0.310945274	0.033116307	0.057422216	0.068987082		2038	2004	-0.0167			21.982	92.71221909	91.16549904	-1.668302264		5.3	4.7	-0.006	7.6	7.8	0.002	27	30.1	0.031	54545	63500	0.164176368
1400000US42001031501		4	740.205	332.493	53.879	-0.361903359	686.588	385.451	49.748	-0.268444009	666.025	428.072	0	-0.217488029	555.862	308.049	16.243	-0.281556409	537.819	315.188	0	-0.260995514	466.495	317.586	57.961	-0.176842723	-0.08034695	-0.007448495	-0.040645306		3447	3401	-0.0133			0.572	6026.223776	5945.804196	-1.334493756		14	16	0.02	5.6	6.9	0.013	52.1	36.6	-0.155	40833	42321	0.036441114
1400000US42001031502		4	1040.795	639.507	78.121	-0.228209026	1001.412	701.549	73.252	-0.168821532	964.975	777.928	0	-0.107319225	950.138	609.951	29.757	-0.213974813	933.181	630.812	2	-0.193084516	795.505	660.414	95.039	-0.087101649	-0.014234213	0.024262984	-0.020217576		4246	4214	-0.0075			1.089	3898.989899	3869.605142	-0.753650503		19.9	30.8	0.109	6.8	10.4	0.036	31.7	27.1	-0.046	41726	33661	-0.193284762
1400000US42001031600		4	1132	2664	174	0.385894207	1152	2599	214	0.364943253	1063	2828	0	0.453610897	1246	2229	84	0.27620118	1224	2291	6	0.303038909	1029	2198	247	0.336499712	0.109693027	0.061904344	0.117111185		6903	7119	0.0313			47.711	144.6836159	149.2108738	3.12907434		3.4	6	0.026	3.9	4.3	0.004	20.8	33.9	0.131	72159	75687	0.04889203
1400000US42001031700		4	375	979	55	0.428672818	390	931	75	0.387535817	340	1021	0	0.500367377	441	827	18	0.300155521	434	833	0	0.314917127	321	837	82	0.416129032	0.128517297	0.07261869	0.084238345		2965	2759	-0.0695			39.841	74.42082277	69.25026982	-6.947723443		7.9	7.2	-0.007	4.2	3.8	-0.004	20.8	18.9	-0.019	54338	55214	0.016121315
1400000US42003010300		14	779.875	216.236	50.044	-0.538771979	737.092	272.213	32.127	-0.446384401	770.034	247.131	0	-0.514078837	609.59	200.307	21.134	-0.49250028	576.348	225.47	0	-0.437603047	250.638	95.179	0	-0.449541231	-0.046271699	-0.008781354	-0.064537606		4512	6294	0.3949			0.333	13549.54955	18900.9009	39.49468084		22.8	32.4	0.096	17.6	10.5	-0.071	16.5	12.4	-0.041	11125	41071	2.691775281
1400000US42003020100		14	1627.153	591.993	93.782	-0.447553923	1480.713	767.117	68.213	-0.308109996	1586.986	670.709	0	-0.405846228	1186.357	509.452	28.936	-0.392466712	1146.615	532.321	0	-0.365882916	476.104	166.378	0	-0.482077319	-0.055087211	0.05777292	0.076231091		5325	4060	-0.2376			0.648	8217.592593	6265.432099	-23.75586855		50.2	23.4	-0.268	4.7	7	0.023	31	63.5	0.325	41795	67750	0.621007298
1400000US42003020300		14	540.597	195.875	29.992	-0.449756283	483.89	255.815	33.622	-0.294926984	525.407	229.906	0	-0.391229861	347.031	177.045	7.291	-0.319903193	348.367	175.34	0	-0.330388939	378.242	105.845	0	-0.562702572	-0.12985309	0.035461955	0.171472711		504	747	0.4821			0.615	819.5121951	1214.634146	48.21428568		42.3	16.9	-0.254	0	2.8	0.028	64.3	81.9	0.176	61442	94643	0.540363269
1400000US42003030500		14	1158.999	44.703	21.121	-0.909760839	1136.975	62.086	19.579	-0.882039815	1137.001	67.891	0	-0.887307742	1287.02	46.092	4.541	-0.927690515	1219.742	54.728	0	-0.914116456	1018.315	320.357	0	-0.521380891	0.017929676	0.032076641	-0.365926851		2308	2225	-0.036			0.258	8945.736434	8624.031008	-3.596187171		84	90.9	0.069	22.9	23	0.001	21.6	10.2	-0.114	14626	17997	0.230479967
1400000US42003040200		14	1108.805	183.536	52.064	-0.688236804	1048.822	253.161	38.003	-0.593783069	1045.145	263.472	0	-0.59732756	886.171	189.614	23.899	-0.633415599	852.037	205.419	0	-0.611484544	813.923	240.685	0	-0.54355552	-0.054821205	0.017701475	-0.05377204		2435	1717	-0.2949			0.237	10274.2616	7244.725738	-29.48665296		64.8	64.1	-0.007	8	22	0.14	36.5	32.9	-0.036	23233	19214	-0.1729867
1400000US42003040400		14	750.428	147.217	33.572	-0.64776631	713.226	195.405	17.279	-0.559256299	754.259	158.882	0	-0.652009931	636.922	214.942	11.433	-0.488800494	625.835	214.076	0	-0.490241228	548.158	161.57	0	-0.544698814	-0.158965816	-0.069015071	-0.107311117		2004	2098	0.0469			0.077	26025.97403	27246.75325	4.690618759		36.1	45.2	0.091	2.6	5.7	0.031	65.1	84	0.189	20406	26196	0.283740076
