VAR	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	PA
PERCNONWHITE	52.06458256	64.60666291	11.05963511	20.922465	6.185678771	15.00298323	14.48116683	14.17149877	6.656938587	8.828543103	13.98717647	7.987	32.57772525	31.71608201	22.94540563	29.83738037	16.79244607	7.387720313	0.219084634
UNEMPLOYMENT	12.44088	13.42325211	7.87463369	7.883527673	7.040518436	5.968695808	5.703639604	6.864428395	7.737095109	7.170091954	6.910039037	6.722265969	8.397884343	9.842037818	7.529035	8.925197546	8.649776963	5.728964583	5.2
COLLEGE	22.66360867	32.40219813	22.16463245	23.72812063	21.82384581	37.82491257	36.69215842	36.86154691	16.47271413	19.62813391	20.50259144	27.28784084	30.68609798	29.51818597	25.88559688	23.37136564	19.66660733	32.21141458	28.6
MEDIANINC	39674.93062	43726.43949	47585.3035	55436.82127	45796.617	74866.23721	74325.93514	82374.67523	42935.51752	49075.42014	47974.67547	55444.35328	58969.09722	42216.6813	57607.80603	54130.95623	47331.21485	60309.42611	"37,775"
