GEO_ID	USP_DEM_2016	USP_REP_2016	USP_OTH_2016	USS_DEM_2016	USS_REP_2016	USS_OTH_2016	USC_DEM_2016	USC_REP_2016	USC_OTH_2016	USP_DEM_2012	USP_REP_2012	USP_OTH_2012	USS_DEM_2012	USS_REP_2012	USS_OTH_2012	USC_DEM_2012	USC_REP_2012	USC_OTH_2012			TOTALPOP_2010	TOTALPOP_2015	TOTALPOP_CHANGE			CENSUSAREA	POPDEN_2010	POPDEN_2015	POPDEN_CHANGE		NONWHITE_2010	NONWHITE_2015	NONWHITE_CHANGE	UNEMPLOY_2010	UNEMPLOY_2015	UNEMPLOY_CHANGE	COLLEGE_2010	COLLEGE_2015	COLLEGE_CHANGE	INC_2010	INC_2015	INC_CHANGE
1400000US42001031401	904	1147	76	879	1188	82	785	1313	0	965	1269	20	1013	1229	0	822	1307	89	ok		4107	4208	0.0246			11.446	358.8153067	367.63935	2.459215963		10.9	14.5	0.036	3.6	3.7	0.001	36.2	29.9	-0.063	56776	72580	0.278357052
1400000US42001031402	637	1101	69	646	1097	78	550	1224	0	468	744	22	498	732	0	380	755	71	ok		2038	2004	-0.0167			21.982	92.71221909	91.16549904	-1.668302264		5.3	4.7	-0.006	7.6	7.8	0.002	27	30.1	0.031	54545	63500	0.164176368
1400000US42001031501	740.205	332.493	53.879	686.588	385.451	49.748	666.025	428.072	0	555.862	308.049	16.243	537.819	315.188	0	466.495	317.586	57.961	ok		3447	3401	-0.0133			0.572	6026.223776	5945.804196	-1.334493756		14	16	0.02	5.6	6.9	0.013	52.1	36.6	-0.155	40833	42321	0.036441114
1400000US42001031502	1040.795	639.507	78.121	1001.412	701.549	73.252	964.975	777.928	0	950.138	609.951	29.757	933.181	630.812	2	795.505	660.414	95.039	ok		4246	4214	-0.0075			1.089	3898.989899	3869.605142	-0.753650503		19.9	30.8	0.109	6.8	10.4	0.036	31.7	27.1	-0.046	41726	33661	-0.193284762
1400000US42001031600	1132	2664	174	1152	2599	214	1063	2828	0	1246	2229	84	1224	2291	6	1029	2198	247	ok		6903	7119	0.0313			47.711	144.6836159	149.2108738	3.12907434		3.4	6	0.026	3.9	4.3	0.004	20.8	33.9	0.131	72159	75687	0.04889203
1400000US42001031700	375	979	55	390	931	75	340	1021	0	441	827	18	434	833	0	321	837	82	ok		2965	2759	-0.0695			39.841	74.42082277	69.25026982	-6.947723443		7.9	7.2	-0.007	4.2	3.8	-0.004	20.8	18.9	-0.019	54338	55214	0.016121315
1400000US42003010300	779.875	216.236	50.044	737.092	272.213	32.127	770.034	247.131	0	609.59	200.307	21.134	576.348	225.47	0	250.638	95.179	0	ok		4512	6294	0.3949			0.333	13549.54955	18900.9009	39.49468084		22.8	32.4	0.096	17.6	10.5	-0.071	16.5	12.4	-0.041	11125	41071	2.691775281
1400000US42003020100	1627.153	591.993	93.782	1480.713	767.117	68.213	1586.986	670.709	0	1186.357	509.452	28.936	1146.615	532.321	0	476.104	166.378	0	ok		5325	4060	-0.2376			0.648	8217.592593	6265.432099	-23.75586855		50.2	23.4	-0.268	4.7	7	0.023	31	63.5	0.325	41795	67750	0.621007298
1400000US42003020300	540.597	195.875	29.992	483.89	255.815	33.622	525.407	229.906	0	347.031	177.045	7.291	348.367	175.34	0	378.242	105.845	0	ok		504	747	0.4821			0.615	819.5121951	1214.634146	48.21428568		42.3	16.9	-0.254	0	2.8	0.028	64.3	81.9	0.176	61442	94643	0.540363269
1400000US42003030500	1158.999	44.703	21.121	1136.975	62.086	19.579	1137.001	67.891	0	1287.02	46.092	4.541	1219.742	54.728	0	1018.315	320.357	0	ok		2308	2225	-0.036			0.258	8945.736434	8624.031008	-3.596187171		84	90.9	0.069	22.9	23	0.001	21.6	10.2	-0.114	14626	17997	0.230479967
1400000US42003040200	1108.805	183.536	52.064	1048.822	253.161	38.003	1045.145	263.472	0	886.171	189.614	23.899	852.037	205.419	0	813.923	240.685	0	ok		2435	1717	-0.2949			0.237	10274.2616	7244.725738	-29.48665296		64.8	64.1	-0.007	8	22	0.14	36.5	32.9	-0.036	23233	19214	-0.1729867
1400000US42003040400	750.428	147.217	33.572	713.226	195.405	17.279	754.259	158.882	0	636.922	214.942	11.433	625.835	214.076	0	548.158	161.57	0	ok		2004	2098	0.0469			0.077	26025.97403	27246.75325	4.690618759		36.1	45.2	0.091	2.6	5.7	0.031	65.1	84	0.189	20406	26196	0.283740076
1400000US42003040500	1246.89	280.63	84.435	1151.548	390.106	52.124	1175.981	385.44	0	969.402	333.953	49.514	916.101	393.274	0	585.988	208.344	0	ok		2739	3629	0.3249			0.182	15049.45055	19939.56044	32.4936108		21	17.1	-0.039	8.9	6.7	-0.022	44.5	67.4	0.229	14473	17441	0.205071512
1400000US42003040600	754.82	141.146	60.093	702.676	213.238	33.318	723.317	201.474	0	609.424	185.005	26.816	582.203	203.14	0	320.634	134.818	0	ok		2211	2193	-0.0081			0.098	22561.22449	22377.55102	-0.814111265		22.7	24.5	0.018	6.1	4.1	-0.02	28.6	30	0.014	19730	21277	0.078408515
1400000US42003040900	1195.11	217.532	69.489	1128.213	286.689	50.613	1165.995	272.63	0	1016.981	223.161	33.544	973.169	265.259	0	817.618	272.655	0	ok		2643	2921	0.1052			0.356	7424.157303	8205.05618	10.51835037		26.7	29	0.023	15.8	6	-0.098	29.3	41.5	0.122	26725	26964	0.008942937
