GEO_ID,pop_change,non_white_change,unemploy_change,edu_change,med_income_change,mean_income_change,%change in diff between mean and median
1400000US42003140100,-15.99%,0.6,-6.1,2.3,11.52%,19.68%,35.40%
1400000US42003140200,-11.98%,-8.7,-2.3,-1.1,57.39%,37.25%,22.90%
1400000US42003140300,5.25%,3.7,-2.8,3.8,38.73%,31.81%,19.85%
1400000US42003140400,-3.37%,5.1,-1,12.5,0.35%,17.95%,126.88%
1400000US42003140500,-14.55%,-17.9,3.1,14.9,39.66%,6.91%,-56.02%
1400000US42003140600,-4.37%,-5.2,-0.5,7.2,-4.96%,22.81%,128.70%
1400000US42003140800,3.74%,3.2,-1.7,0.6,10.98%,-4.17%,-28.76%
1400000US42003141000,9.31%,-6.4,5.3,15.5,5.27%,2.89%,-2.49%
1400000US42003141100,-0.88%,2.5,-5.5,0.5,-3.99%,10.09%,-312.94%
1400000US42003141300,12.68%,8.4,-2.1,-3.1,2.56%,8.73%,24.04%
1400000US42003141400,28.27%,8.1,2,5.1,22.38%,37.13%,63.90%
1400000US42003151600,1.51%,0.3,-1.7,-0.9,36.00%,21.60%,-37.59%
1400000US42003151700,8.75%,0.6,-0.1,4.2,20.56%,34.11%,111.51%
1400000US42003160800,6.42%,-15.6,-3.4,3.8,14.30%,21.46%,46.34%
1400000US42003160900,11.43%,1.5,2.4,10.3,32.14%,32.68%,33.84%
1400000US42003170200,-20.88%,-6.2,3.9,9,-3.75%,7.84%,49.12%
1400000US42003170600,-13.13%,2.6,-6.2,-5.1,55.39%,2.62%,-37.21%
1400000US42003180300,14.25%,26.3,8.6,-0.2,5.88%,2.64%,-10.48%
1400000US42003180700,-4.96%,6.5,2,2.7,-9.56%,2.95%,65.98%
1400000US42003190300,1.95%,4.9,-7,-5.5,24.55%,4.35%,-34.82%
1400000US42003191100,3.70%,-4.7,1.3,-3,17.55%,4.31%,-27.33%
1400000US42003191400,-8.04%,2.2,2,10.9,5.06%,3.08%,-1.07%
