GEO_ID	DEM_USC	REP_USC	OTHERS_USC
1400000US42011002200	366.892	42.697	3.835
1400000US42049002200	0	1080.912	0
1400000US42075002200	551	2139	121
1400000US42101002200	1188.757	106.259	0
1400000US42107002200	601	712	0
1400000US42077002201	1029.578	1025.612	86.594
1400000US42077002202	1176.956	579.226	66.695
1400000US42011002300	403.888	63.048	4.108
1400000US42049002300	0	505.267	0
1400000US42075002300	198	1085	51
1400000US42101002300	1920.757	339.259	0
1400000US42107002300	589	599	0
1400000US42077002301	1572.71	2140.69	109.02
1400000US42077002302	2268.592	2474.462	142.885
1400000US42049002400	0	681.645	0
1400000US42075002400	184	1000	46
1400000US42101002400	1903.702	415.54	0
1400000US42107002400	516	543	0
1400000US42011002500	491.212	67.061	5.855
1400000US42049002500	0	330.786	0
1400000US42075002500	610	1107	82
1400000US42101002500	2086.393	425.191	0
1400000US42107002500	347	717	0
1400000US42011002600	555.854	184.746	11.324
1400000US42049002600	0	357.699	0
1400000US42075002600	286	689	42
1400000US42107002600	515.635	784.97	0
1400000US42011002700	513.066	163.11	9.828
1400000US42049002700	0	624.95	0
1400000US42107002700	213.635	291.97	0
1400000US42075002701	648.908	1809.784	119.1
1400000US42101002701	1266.557	168.316	0
1400000US42075002702	681.908	1610.784	96.1
1400000US42101002702	1004.324	245.236	0
1400000US42049002800	0	1869.267	0
1400000US42075002800	867	2963	0
1400000US42107002800	360	525	0
1400000US42101002801	1076.683	166.864	0
1400000US42101002802	2343.242	556.025	0
1400000US42011002900	97.892	45.088	2.644
1400000US42049002900	0	609.676	0
1400000US42075002900	296	940	0
1400000US42101002900	1581.39	385.97	0
1400000US42107002900	755.982	2193.074	0
1400000US42049003000	0	1466.476	0
1400000US42075003000	512	1688	0
1400000US42107003000	852.876	1987.705	0
1400000US42101003001	857.371	66.776	0
1400000US42101003002	1267.639	83.294	0
1400000US42075003100	293	1222	0
1400000US42101003100	2436.168	96.204	0
1400000US42107003100	524	937	0
1400000US42075003200	918.515	2357.757	0
1400000US42101003200	2838.9	96.48	0
1400000US42107003200	1082.144	1900.968	0
1400000US42075003300	352.065	765.135	0
