GEO_ID	CLINTON	TRUMP	OTHERS_USP	MCGINTY	TOOMEY	OTHERS_USS	DEM_USC	REP_USC	OTHERS_USC	margin_usp	margin_uss	margin_usc
1400000US42081000500	317.97	259.177	40.605	316.891	251.491	50.627	324.834	291.452	0	-0.095172496	-0.105652745	-0.05416641
1400000US42101000500	1072.516	158.836	36.336	986.125	226.559	17.599	979.692	226.426	0	-0.720745168	-0.617391283	-0.624537566
1400000US42107000500	481	882	49	558	714	118	701	684	0	0.283994334	0.112230216	-0.012274368
1400000US42133000500	220.131	45.462	9.906	212.383	44.468	15.12	213.445	54.87	0	-0.634009561	-0.617400385	-0.591003112
1400000US42011000600	1003.788	384.384	51.912	964.558	403.066	41.866	980.286	363.882	31.138	-0.430116577	-0.398365366	-0.448194075
1400000US42021000600	380.083	425.048	38.227	403.12	368.838	57.633	395.804	430.337	0	0.053316622	-0.041323978	0.041800371
1400000US42049000600	282.856	219.798	19.821	275.984	218.076	23.607	0	299.297	0	-0.120690942	-0.111863418	1
1400000US42071000600	868.511	219.578	67.893	847.961	266.287	43.366	868.026	254.222	32.295	-0.561369468	-0.502476646	-0.53164239
1400000US42073000600	102.626	104.213	11.109	113.206	83.582	19.044	0	141.243	0	0.007281553	-0.137254902	1
1400000US42077000600	1292.171	561.972	61.582	1250.763	551.896	88.169	1231.089	599.351	62.553	-0.381160657	-0.369608976	-0.333724425
1400000US42081000600	886.359	961.393	103.356	880.618	906.016	165.318	873.282	1066.688	0	0.038457123	0.01301159	0.099695356
1400000US42101000600	645.319	89.878	20.988	596.995	130.723	11.717	588.332	135.017	0	-0.734530571	-0.630578753	-0.626689192
1400000US42133000600	588.206	168.301	27.426	581.115	160.815	35.202	572.48	189.822	0	-0.535638888	-0.540834762	-0.501976907
1400000US42107000601	410.932	688.8088	23.7132	490.8472	518.2938	93.9954	569.6102	526.8432	0	0.247341502	0.024880513	-0.03900485
1400000US42107000602	53.932	77.0088	4.5132	66.6472	59.4938	8.5954	80.4102	53.6432	0	0.170366324	-0.053091815	-0.19967416
1400000US42011000700	1134.209	279.558	38.174	1044.302	284.307	40.552	1060.551	250.277	25.918	-0.588626535	-0.555080812	-0.606154049
1400000US42021000700	523.889	674.382	45.105	575.046	605.376	68.992	567.975	686.407	0	0.121035793	0.02427538	0.09441462
1400000US42049000700	924.301	339.766	42.387	905.432	321.078	52.081	0	560.08	0	-0.447421034	-0.457029652	1
1400000US42071000700	763.086	207.098	63.815	738.798	251.422	44.797	737.834	245.895	43.252	-0.537706516	-0.470886952	-0.479014704
1400000US42073000700	429.893	338.054	30.825	454.358	279.7	52.771	0	499.623	0	-0.114975237	-0.221977075	1
1400000US42077000700	944.224	149.05	12.937	868.171	161.047	39.15	872.073	176.927	23.74	-0.718826698	-0.661873062	-0.648009769
1400000US42101000700	1780.36	251.341	44.669	1594.348	421.636	18.627	1599.498	387.715	0	-0.736390431	-0.576381431	-0.609790194
1400000US42107000700	485	1063	37	627	810	129	735	819	0	0.36466877	0.116858238	0.054054054
1400000US42133000700	127.152	11.523	2.382	125.361	13.278	3.003	125.874	15.516	0	-0.819732449	-0.791311899	-0.780521961
1400000US42011000800	419.175	92.584	16.631	393.516	94.432	14.492	396.314	80.815	12.116	-0.618087019	-0.595263116	-0.644869135
1400000US42049000800	831.966	278.986	37.488	807.156	274.152	42.703	0	459.853	0	-0.481505346	-0.474198206	1
1400000US42071000800	644.073	95.887	19.279	623.272	111.608	17.579	627.437	107.169	12.031	-0.722020339	-0.679989209	-0.696815186
1400000US42073000800	795.098	762.834	53.39	884.353	602.46	104.451	0	1053.993	0	-0.02002331	-0.177150366	1
1400000US42077000800	944.224	149.05	12.937	868.171	161.047	39.15	872.073	176.927	23.74	-0.718826698	-0.661873062	-0.648009769
1400000US42081000800	246.696	148.425	22.14	243.654	141.597	32.613	249.78	168.099	0	-0.235514462	-0.244234966	-0.195465673
1400000US42107000800	492	1160	40	528	993	147	661	992	0	0.394799054	0.278776978	0.200241984
1400000US42133000800	616.58	205.142	48.612	611.382	228.304	38.702	596.364	265.772	0	-0.472735754	-0.436114792	-0.383456902
1400000US42101000801	1102.66	118.4	32.888	994.996	220.196	16.076	993.316	215.8	0	-0.784928881	-0.629269988	-0.643045001
1400000US42101000803	1892.496	293.943	47.835	1720.348	471.448	16.933	1713.27	436.771	0	-0.715468649	-0.565438313	-0.593709143
1400000US42101000804	1226.128	224.156	25.73	1103.56	353.208	9.626	1086.71	327.884	0	-0.67883638	-0.511698766	-0.536426706
1400000US42011000900	822.882	191.355	26.774	763.409	198.996	30.54	760.738	174.1	24.324	-0.606647768	-0.568423226	-0.611615139
1400000US42049000900	481.75	208.277	39.523	467.772	225.133	30.365	0	372.726	0	-0.374851621	-0.335474996	1
1400000US42071000900	973.62	111.889	23.146	940.695	128.46	25.208	934.377	131	18.625	-0.777276069	-0.742198886	-0.741121326
1400000US42073000900	373.681	246.683	13.771	393.766	195.118	34.74	0	351.343	0	-0.200269659	-0.318538093	1
1400000US42077000900	285.184	48.459	8.355	271.816	46.231	15.039	271.816	50.687	9.469	-0.69218241	-0.677257525	-0.666107383
1400000US42081000900	279.397	504.839	35.858	319.727	427.184	72.452	299.199	522.763	0	0.274897756	0.131147001	0.271988243
1400000US42107000900	690	2015	83	850	1721	192	1012	1734	0	0.475251076	0.315237061	0.262927895
1400000US42133000900	14.58	2.142	0.612	14.382	2.304	0.702	14.364	2.772	0	-0.717549325	-0.694616977	-0.676470588
1400000US42101000901	1107.141	160.69	33.81	1025.625	242.581	14.919	1009.302	232.797	0	-0.72712138	-0.610263225	-0.625155483
1400000US42101000902	1279.356	154.85	38.02	1181.074	242.448	20.536	1172.642	231.662	0	-0.763813436	-0.649991898	-0.670068589
1400000US42011001000	472.71	110.274	16.472	434.377	108.508	18.867	442.303	96.264	9.845	-0.604608178	-0.580094063	-0.63098364
1400000US42049001000	464.759	262.269	45.126	458.239	269.4	38.874	0	433.056	0	-0.262240434	-0.246361118	1
1400000US42071001000	989.74	270.417	70.733	979.198	272.977	77.546	990.541	280.734	52.918	-0.540482685	-0.531104645	-0.536029869
1400000US42073001000	247	325	12	279	271	28	0	403	0	0.133561644	-0.01384083	1
1400000US42077001000	671.098	114.373	21.087	638.025	120.306	31.195	622.267	142.954	23.661	-0.690247942	-0.655733947	-0.607585165
1400000US42081001000	469.037	709.677	59.378	493.753	636.746	103.173	483.528	744.617	0	0.194363585	0.115908442	0.21258809
1400000US42107001000	328	657	36	379	544	83	456	545	0	0.322233105	0.164015905	0.088911089
1400000US42133001000	335.825	75.278	17.728	329.236	80.082	17.03	328.77	95.561	0	-0.607575012	-0.584391155	-0.549592182
1400000US42101001001	1065.097	152.505	28.87	997.051	232.688	7.796	986.532	220.105	0	-0.732139992	-0.617649602	-0.635176113
1400000US42101001002	1692.97	290.392	47.107	1561.372	439.698	13.436	1541.203	421.533	0	-0.690765532	-0.55679854	-0.570463883
1400000US42011001100	233.971	31.266	6.718	212.992	30.63	5.574	212.738	27.571	4.63	-0.745362284	-0.731801474	-0.755971895
1400000US42049001100	922.876	533.221	64.472	909.202	524.725	72.802	0	821.249	0	-0.256256046	-0.255173293	1
1400000US42071001100	1086.036	390.268	82.096	1077.104	399.928	77.504	1081.356	406.928	61.116	-0.446463039	-0.435612942	-0.435283335
1400000US42107001100	173	891	37	219	816	71	272	830	0	0.652134423	0.539783002	0.506352087
1400000US42133001100	532.362	113.915	21.253	515.496	114.648	30.76	516.269	142.567	0	-0.626858718	-0.606514713	-0.567215513
1400000US42101001101	1650.831	142.724	44.317	1568.663	229.261	21.964	1516.581	251.95	0	-0.820572379	-0.735980456	-0.715074262
1400000US42101001102	1478.202	148.021	38.863	1377.737	242.754	21.978	1358.978	244.276	0	-0.798866245	-0.691022479	-0.695274735
1400000US42011001200	291.459	28.951	4.415	270.068	29.86	3.76	268.363	26.721	1.88	-0.808152082	-0.790969679	-0.813708059
1400000US42021001200	448.782	535.685	31.736	499.254	442.8	60.296	485.129	511.826	0	0.085517362	-0.056321644	0.026778541
1400000US42049001200	575.983	237.675	48.757	572.58	244.245	32.983	0	397.867	0	-0.392279819	-0.386363743	1
1400000US42071001200	1548.844	649.005	120.132	1545.158	669.114	97.05	1525.817	705.845	76.724	-0.388199472	-0.379022914	-0.355214423
1400000US42077001200	632.454	107.749	19.135	618.316	102.441	25.819	607.536	117.677	17.939	-0.691003216	-0.690987924	-0.65916394
1400000US42107001200	311	1535	53	390	1386	110	441	1433	0	0.644549763	0.528101803	0.529348986
1400000US42133001200	865.282	225.845	47.493	842.266	235.598	56.59	836.479	288.937	0	-0.561589468	-0.534766504	-0.486524094
1400000US42101001201	2368.206	212.756	68.094	2202.83	396.418	21.666	2184.736	371.18	0	-0.813667208	-0.689229788	-0.70955227
1400000US42101001202	1594.911	181.323	45.976	1444.231	331.396	16.976	1428.931	316.75	0	-0.775754715	-0.62079278	-0.637104374
1400000US42011001300	535.003	100.508	18.214	484.944	110.921	11.24	478.03	90.173	11.451	-0.664644919	-0.616076297	-0.669118129
1400000US42049001300	330.968	59.683	10.288	319.816	63.409	11.845	0	129.897	0	-0.676624125	-0.64901663	1
1400000US42101001300	3609.98	343.723	100.598	3358.211	594.762	49.527	3372.923	564.835	0	-0.805627653	-0.690430731	-0.71311848
1400000US42107001300	278	859	44	350	705	98	446	698	0	0.49195597	0.307892454	0.22027972
1400000US42133001300	744.295	322.33	59.965	734.595	336.4	62.805	714.435	405.12	0	-0.374550635	-0.351203916	-0.276283881
1400000US42011001400	741.729	108.68	15.664	671.13	110.582	11.383	676.201	91.305	7.835	-0.730941849	-0.706785442	-0.754372592
1400000US42049001400	127.299	21.324	4.164	121.907	24.075	3.65	0	48.344	0	-0.693612676	-0.653817365	1
1400000US42071001400	540.013	129.618	26.076	523.375	137.506	28.707	527.605	141.581	17.332	-0.589896321	-0.559564552	-0.562292613
1400000US42101001400	2565.698	194.143	63.065	2402.357	337.486	32.616	2387.402	336.223	0	-0.840111219	-0.744779634	-0.753106246
1400000US42107001400	286	695	34	364	546	95	458	536	0	0.402955665	0.181094527	0.078470825
1400000US42133001400	1213.988	557.916	70.988	1212.475	557.277	80.191	1180.174	650.429	0	-0.356001328	-0.354171993	-0.289382788
1400000US42077001401	2238.698	805.878	118.622	2180.104	813.14	111.752	2067.146	913.754	121.648	-0.452965638	-0.440246622	-0.371756376
1400000US42077001402	434.402	360.406	18.79	415.216	351.244	34.208	382.682	382.778	28.72	-0.090949093	-0.079898285	0.000120879
1400000US42011001500	599.647	100.512	17.181	546.182	100.965	16.181	551.962	83.777	9.879	-0.695813701	-0.671186804	-0.7251734
1400000US42049001500	152.308	51.522	7.174	146.372	51.238	8.488	0	88.844	0	-0.477649713	-0.46159594	1
1400000US42101001500	2095.52	232.594	56.562	2000.965	327.956	21.958	1945.955	350.717	0	-0.781207174	-0.711652535	-0.694586776
1400000US42107001500	555	956	71	644	763	167	780	763	0	0.253476612	0.075603558	-0.011017498
1400000US42133001500	620.613	180.516	42.263	612.65	193.827	41.216	604.949	231.679	0	-0.52181785	-0.494073916	-0.446160062
1400000US42077001501	1776.293	651.686	68.617	1700.992	659.206	103.663	1634.194	734.921	95.344	-0.450456141	-0.422826612	-0.364896718
1400000US42077001502	1672.122	804.714	80.035	1617.229	805.31	113.494	1525.105	891.57	93.791	-0.339245899	-0.320153168	-0.25235753
1400000US42011001600	480.687	100.248	16.058	429.291	100.488	18.699	438.172	82.518	11.767	-0.637258728	-0.599482568	-0.667948773
1400000US42049001600	749.044	463.516	61.946	751.468	455.826	58.12	0	688.802	0	-0.22403033	-0.233632629	1
1400000US42077001600	581.521	88.89	12.122	554.927	88.127	20.7	535.37	108.483	17.23	-0.721768764	-0.703272598	-0.645738886
1400000US42101001600	670.959	86.686	28.146	629.279	140.149	10.468	624.078	137.881	0	-0.743547585	-0.627173367	-0.638088139
1400000US42107001600	658	1490.08	60.648	794.168	1239.744	144.136	930.144	1233.968	0	0.376723616	0.20457584	0.140391994
1400000US42133001600	227.864	60.204	15	223.18	64.792	14.396	225.108	74.32	0	-0.553209181	-0.523825273	-0.503586839
1400000US42011001700	833.783	108.026	17.054	739.037	110.058	9.637	733.504	84.9	12.101	-0.756893321	-0.732450869	-0.780975431
1400000US42049001700	288.741	76.469	13.049	280.375	80.434	12.641	0	143.251	0	-0.561181624	-0.535388941	1
1400000US42077001700	559.838	118.104	12.976	550.19	107.082	21.203	535.324	125.686	17.378	-0.639343598	-0.653094071	-0.60384028
1400000US42101001700	1879.405	201.839	58.235	1764.508	326.21	27.402	1732.505	328.156	0	-0.784100241	-0.679044624	-0.681504139
1400000US42107001700	928.207	1268.505	85.419	998.758	1142.535	131.572	1163.348	1113.841	0	0.149114139	0.063258047	-0.0217404
1400000US42011001800	1118.352	375.537	66.457	1052.987	377.694	59.192	1078.111	338.021	31.518	-0.476057874	-0.453255412	-0.511235451
1400000US42049001800	250.004	57.843	7.178	239.586	58.581	11.395	0	121.265	0	-0.609986509	-0.58471324	1
1400000US42077001800	906.924	181.324	17.972	855.61	175.4	39.33	819.174	219.505	30.187	-0.655927392	-0.635508343	-0.561032908
1400000US42101001800	2509.306	299.074	67.522	2394.867	414.404	24.118	2342.104	427.904	0	-0.768535228	-0.698973208	-0.691044936
1400000US42107001800	744.135	954.222	64.812	793.57	855.048	103.645	914.924	830.666	0	0.11915307	0.035084916	-0.048269067
1400000US42011001900	556.362	104.159	17.157	508.133	93.989	19.287	493.422	88.313	10.65	-0.667282987	-0.66645961	-0.683861003
1400000US42049001900	296.55	151.755	18.78	286.753	151.558	20.168	0	250.57	0	-0.30999711	-0.294877192	1
1400000US42077001900	1325.029	524.703	44.877	1301.777	498.644	61.605	1217.356	576.442	46.744	-0.42242278	-0.431322119	-0.348220253
1400000US42101001900	1714.313	135.537	49.107	1610.244	250.388	17.941	1599.653	248.67	0	-0.831391127	-0.723877113	-0.730923653
1400000US42107001900	572.826	735.669	63.564	608.513	644.158	111.642	716.304	640.071	0	0.118685129	0.026126703	-0.056203484
1400000US42011002000	1157.192	337.273	61.515	1094.399	321.344	48.438	1075.683	305.699	36.006	-0.526947004	-0.527977757	-0.543241512
1400000US42049002000	485.524	243.031	50.987	469.841	268.874	36.062	0	421.947	0	-0.311071116	-0.259386895	1
1400000US42075002000	246	1259	62	282	1172	99	215	1113	62	0.6464582	0.573084353	0.646043165
1400000US42077002000	1158.464	274.891	58.024	1117.693	299.401	56.775	1064.408	359.682	43.775	-0.592453696	-0.555199953	-0.480102734
1400000US42101002000	1204.9	44.992	40.154	1165.691	68.852	21.761	1182.875	71.433	0	-0.899121427	-0.873068143	-0.886099746
