id	margin
2013	0.151710546
2016	0.151710546
2020	0.151710546
2050	0.151710546
2060	0.151710546
2068	0.151710546
2070	0.151710546
2090	0.151710546
2100	0.151710546
2110	0.151710546
2122	0.151710546
2130	0.151710546
2150	0.151710546
2164	0.151710546
2170	0.151710546
2180	0.151710546
2185	0.151710546
2188	0.151710546
2201	0.151710546
2220	0.151710546
2232	0.151710546
2240	0.151710546
2261	0.151710546
2270	0.151710546
2280	0.151710546
2282	0.151710546
2290	0.151710546
1001	0.494789343
1003	0.577861622
1005	0.056111646
1007	0.555441244
1009	0.813819729
1011	-0.508615188
1013	0.135290731
1015	0.41383823
1017	0.148062128
1019	0.693611349
1021	0.666064092
1023	0.136626307
1025	0.107993197
1027	0.608034084
1029	0.773729333
1031	0.567006289
1033	0.382603752
1035	0.052575271
1037	0.305571511
1039	0.685484891
1041	0.455534229
1043	0.778046033
1045	0.504377719
1047	-0.375974373
1049	0.693743771
1051	0.519794066
1053	0.367054493
1055	0.501035101
1057	0.65239141
1059	0.608030113
1061	0.724333133
1063	-0.65158371
1065	-0.199750312
1067	0.416240489
1069	0.476326434
1071	0.624488814
1073	-0.072272337
1075	0.69023229
1077	0.460103574
1079	0.486972577
1081	0.231220087
1083	0.494517766
1085	-0.468993409
1087	-0.667924097
1089	0.167827783
1091	-0.034983559
1093	0.762159232
1095	0.695095095
1097	0.138676884
1099	0.143446244
1101	-0.261610202
1103	0.523614251
1105	-0.460513796
1107	0.156098589
1109	0.202840691
1111	0.533761106
1113	-0.019178512
1117	0.503175147
1115	0.686111184
1119	-0.494132374
1121	0.255524113
1123	0.415910073
1125	0.195268517
1127	0.674417809
1129	0.431582666
1131	-0.425266612
1133	0.814627011
5001	0.305821307
5003	0.365018064
5005	0.53607194
5007	0.348571004
5009	0.584464555
5011	0.233895494
5013	0.408
5015	0.322728979
5017	-0.152807906
5019	0.094680215
5021	0.297758448
5023	0.614388369
5025	0.526523189
5027	0.262079891
5029	0.279316065
5031	0.352436513
5033	0.549717897
5035	-0.0895683
5037	0.377982726
5039	0.124771981
5041	-0.07382868
5043	0.24465812
5045	0.315870072
5047	0.546133174
5049	0.50653457
5051	0.341373925
5053	0.547483589
5055	0.529884898
5057	0.289232532
5059	0.42454507
5061	0.3895123
5063	0.524213345
5065	0.543180133
5067	0.329668172
5069	-0.252696336
5071	0.405801934
5073	0.254673721
5075	0.497601705
5077	-0.168442077
