CD	DEM_USC	REP_USC	OTHERS_USC
1	245791	53219	0
2	349487	45672	0
3	0	244893	283
4	113372	220628	0
5	100556	205140	0
6	155000	207469	0
7	153824	225678	0
8	173555	207263	0
9	107985	186580	0
10	89823	211282	6
11	113800	199421	0
12	137353	221851	0
13	239316	0	0
14	255293	87999	0
15	124128	190618	11727
16	134586	168669	10518
17	157734	135430	0
18	0	293684	0
