GEO_ID	DEM_USC	REP_USC	OTHERS_USC	DEM_2012	REP_2012	OTH_2012
1400000US42107001100	272	830	0	345	647	0
1400000US42133001100	516.269	142.567	0	482.206	77.282	32.788
1400000US42101001101	1516.581	251.95	0	1294.804	197.457	0.63
1400000US42101001102	1358.978	244.276	0	1216.778	242.599	0
1400000US42011001200	268.363	26.721	1.88	245.65	20.539	4.189
1400000US42021001200	485.129	511.826	0	756.239	281.671	0
1400000US42049001200	0	397.867	0	636.851	176.867	49.255
1400000US42071001200	1525.817	705.845	76.724	1091.782	637.894	91.987
1400000US42077001200	607.536	117.677	17.939	559.501	105.177	0
1400000US42107001200	441	1433	0	493	1069	0
1400000US42133001200	836.479	288.937	0	761.416	178.962	60.668
1400000US42101001201	2184.736	371.18	0	1909.508	394.654	64.522
1400000US42101001202	1428.931	316.75	0	1212.344	323.622	46.152
1400000US42011001300	478.03	90.173	11.451	443.399	87.928	23.596
1400000US42049001300	0	129.897	0	367.755	46.409	10.975
1400000US42101001300	3372.923	564.835	0	2728.534	470.418	107.363
1400000US42107001300	446	698	0	511	480	0
1400000US42133001300	714.435	405.12	0	639.66	300.005	64.405
1400000US42011001400	676.201	91.305	7.835	515.233	93.008	21.424
1400000US42049001400	0	48.344	0	146.597	16.793	5.723
1400000US42071001400	527.605	141.581	17.332	486.854	149.804	34.3
1400000US42101001400	2387.402	336.223	0	2074.202	309.039	73.61
1400000US42107001400	458	536	0	474	341	0
1400000US42133001400	1180.174	650.429	0	1079.066	487.343	122.888
1400000US42077001401	2067.146	913.754	121.648	1940.148	871.338	0
1400000US42077001402	382.682	382.778	28.72	374.612	364.266	0
1400000US42011001500	551.962	83.777	9.879	433.086	86.647	21.546
1400000US42049001500	0	88.844	0	171.506	37.255	8.287
1400000US42101001500	1945.955	350.717	0	1759.013	276.443	4.87
1400000US42107001500	780	763	0	821	644	0
1400000US42133001500	604.949	231.679	0	538.616	160.018	49.363
1400000US42077001501	1634.194	734.921	95.344	1553.854	704.833	0
1400000US42077001502	1525.105	891.57	93.791	1392.943	870.761	0
1400000US42011001600	438.172	82.518	11.767	388.735	72.178	23.065
1400000US42049001600	0	688.802	0	894.562	330.796	60.204
1400000US42077001600	535.37	108.483	17.23	492.029	87.829	0
1400000US42101001600	624.078	137.881	0	547.422	118.799	0
1400000US42107001600	930.144	1233.968	0	1064.504	941.632	0
1400000US42133001600	225.108	74.32	0	200.336	54.18	20.064
1400000US42011001700	733.504	84.9	12.101	604.689	85.242	20.169
1400000US42049001700	0	143.251	0	322.653	61.273	13.667
1400000US42077001700	535.324	125.686	17.378	504.3	111.358	0
1400000US42101001700	1732.505	328.156	0	1579.871	301.929	0
1400000US42107001700	1163.348	1113.841	0	1184.523	995.676	0
1400000US42011001800	1078.111	338.021	31.518	964.461	318.495	91.764
1400000US42049001800	0	121.265	0	290.248	44.352	10.048
1400000US42077001800	819.174	219.505	30.187	769.298	188.844	0
1400000US42101001800	2342.104	427.904	0	2093.064	338.602	4.918
1400000US42107001800	914.924	830.666	0	958.253	741.972	0
1400000US42011001900	493.422	88.313	10.65	438.042	89.928	19.17
1400000US42049001900	0	250.57	0	230.204	79.818	18.53
1400000US42077001900	1217.356	576.442	46.744	1150.442	514.892	0
1400000US42101001900	1599.653	248.67	0	1262.433	189.43	48.72
1400000US42107001900	716.304	640.071	0	774.873	530.498	0
1400000US42011002000	1075.683	305.699	36.006	986.967	280.409	94.444
1400000US42049002000	0	421.947	0	508.952	193.252	27.164
1400000US42075002000	215	1113	62	284	935	0
1400000US42077002000	1064.408	359.682	43.775	980.866	361.69	0
1400000US42101002000	1182.875	71.433	0	1147.794	18.599	11.691
1400000US42107002000	88.085	98.073	0	104.074	74.618	0
1400000US42011002100	504	87	17	438	109	28
1400000US42049002100	0	1035.536	0	1053.348	612.452	93.992
1400000US42075002100	365	1685	115	410	1402	0
1400000US42077002100	1490.814	709.358	76.007	1479.908	662.555	0
1400000US42101002100	1277.81	97.348	0	1168.504	31.49	12.694
1400000US42107002100	282	365	0	338	269	0
1400000US42011002200	366.892	42.697	3.835	316.371	43.522	5.878
1400000US42049002200	0	1080.912	0	1070.24	599.036	123.112
1400000US42075002200	551	2139	121	682	1815	0
1400000US42101002200	1188.757	106.259	0	963.664	57.499	29.774
1400000US42107002200	601	712	0	674	561	0
1400000US42077002201	1029.578	1025.612	86.594	1042.28	922.98	0
1400000US42077002202	1176.956	579.226	66.695	1178.666	637.086	0
1400000US42011002300	403.888	63.048	4.108	387.118	52.212	11.576
1400000US42049002300	0	505.267	0	557.238	272.453	52.603
1400000US42075002300	198	1085	51	275	953	0
1400000US42101002300	1920.757	339.259	0	1615.664	219.499	18.774
1400000US42107002300	589	599	0	582	516	0
1400000US42077002301	1572.71	2140.69	109.02	1631.696	1912.917	0
1400000US42077002302	2268.592	2474.462	142.885	2326.7	2311.366	0
1400000US42049002400	0	681.645	0	726.539	344.536	61.817
1400000US42075002400	184	1000	46	236	897	0
1400000US42101002400	1903.702	415.54	0	1545.444	294.599	0
1400000US42107002400	516	543	0	591	392	0
1400000US42011002500	491.212	67.061	5.855	479.833	50.908	14.614
1400000US42049002500	0	330.786	0	451.855	165.413	36.494
1400000US42075002500	610	1107	82	701	921	0
1400000US42101002500	2086.393	425.191	0	1873.218	314.011	0
1400000US42107002500	347	717	0	378	561	0
1400000US42011002600	555.854	184.746	11.324	511.42	171.98	31.094
1400000US42049002600	0	357.699	0	501.445	170.401	41.533
1400000US42075002600	286	689	42	336	631	0
1400000US42107002600	515.635	784.97	0	583.532	587.647	0
1400000US42011002700	513.066	163.11	9.828	476.376	154.6	27.218
1400000US42049002700	0	624.95	0	672.438	306.946	59.668
1400000US42107002700	213.635	291.97	0	236.532	201.647	0
1400000US42075002701	648.908	1809.784	119.1	731.264	1619.9	0
1400000US42101002701	1266.557	168.316	0	1044.845	93.668	0
1400000US42075002702	681.908	1610.784	96.1	788.264	1389.9	0
1400000US42101002702	1004.324	245.236	0	897.471	161.925	0
1400000US42049002800	0	1869.267	0	1676.992	975.55	162.64
1400000US42075002800	867	2963	0	806	2624	0
1400000US42107002800	360	525	0	387	396	0
1400000US42101002801	1076.683	166.864	0	898.035	129.352	0
1400000US42101002802	2343.242	556.025	0	1928.422	457.088	0
1400000US42011002900	97.892	45.088	2.644	77.028	40.176	9.944
1400000US42049002900	0	609.676	0	538.235	404.579	53.959
1400000US42075002900	296	940	0	295	825	0
1400000US42101002900	1581.39	385.97	0	1347.364	305.893	0.66
1400000US42107002900	755.982	2193.074	0	876.898	1758.762	0
1400000US42049003000	0	1466.476	0	1609.411	845.956	120.022
1400000US42075003000	512	1688	0	566	1419	0
1400000US42107003000	852.876	1987.705	0	906.986	1669.894	0
1400000US42101003001	857.371	66.776	0	663.665	58.224	6.543
1400000US42101003002	1267.639	83.294	0	1122.134	32.283	16.338
1400000US42075003100	293	1222	0	325	1101	0
1400000US42101003100	2436.168	96.204	0	2405.64	29.138	9.027
1400000US42107003100	524	937	0	586	755	0
1400000US42075003200	918.515	2357.757	0	870.205	2050.64	0
1400000US42101003200	2838.9	96.48	0	3000.736	34.055	12.167
1400000US42107003200	1082.144	1900.968	0	1282.504	1479.632	0
1400000US42075003300	352.065	765.135	0	308.7	685.755	0
1400000US42101003300	1612.49	196.035	0	1569.911	186.427	8.636
1400000US42107003300	896	1414	0	976	1084	0
1400000US42075003400	566.45	1592.622	0	561.505	1364.885	0
1400000US42107003400	445.894	1023.631	0	503.088	794.132	0
1400000US42075003500	958.05	2027.833	132.702	993.475	1901.269	0
1400000US42107003500	821	1810	0	904	1383	0
1400000US42075003600	665.05	1222.833	93.702	716.475	1134.269	0
1400000US42101003600	2220.523	295.567	0	2271.443	274.668	10.839
1400000US42107003600	358	969	0	456	708	0
1400000US42075003700	306	1115	69	399	948	0
1400000US42107003700	332	1312	0	431	957	0
1400000US42101003701	2291.703	86.347	0	2227.309	65.849	21.373
1400000US42101003702	1425.827	181.612	0	1313.397	156.804	15.14
1400000US42075003800	1167	3697	187	1297	3305	0
1400000US42101003800	941.284	588.07	0	993.509	476.756	0
1400000US42107003800	309	528	0	369	418	0
1400000US42107003900	478	1256	0	607	956	0
1400000US42075003901	569.322	1317.076	101.116	582.426	1118.966	0
1400000US42101003901	1584.298	629.077	0	1405.044	559.051	7.077
1400000US42075003902	177.322	440.076	36.116	204.426	380.966	0
1400000US42101003902	1479.965	1094.506	0	1574.418	807.736	0
1400000US42075004000	1030	2756	156	1145	2358	0
1400000US42101004001	1631.922	554.76	0	1453.669	368.719	0.077
1400000US42101004002	2105.748	1207.616	0	2011.794	805.434	0
1400000US42075004100	449	863	7	432	814	0
1400000US42101004101	1472.949	256.592	0	1393.512	136.563	0
1400000US42101004102	1640.662	488.923	0	1531.884	315.722	0
1400000US42075004200	915	1850	0	800	1731	0
1400000US42101004201	1971.046	468.064	0	1950.865	284.007	0
1400000US42101004202	999.034	286.117	0	996.561	189.089	0
1400000US42101005000	278.1	246.848	0	285.509	206.205	0
1400000US42077005100	500	911	101	595	724	0
1400000US42077005200	872	2123	172	965	1839	0
1400000US42077005301	429	1195	86	543	981	0
1400000US42077005302	551	1585	122	616	1455	0
1400000US42101005400	508.365	27.276	0	552.931	13.534	0
1400000US42077005401	337	893	50	346	825	0
1400000US42077005402	623	2068	94	692	1867	0
1400000US42101005500	2448.142	154.735	0	2433.578	118.157	0
1400000US42077005503	1241.395	2551.781	175.131	874.668	1848.474	0
1400000US42077005504	880.633	1764.328	127.715	696.425	1463.453	0
1400000US42077005505	158.372	340.308	20.961	80.008	170.976	0
1400000US42077005506	202.39	447.145	26.455	98.235	214.045	0
1400000US42101005600	0.808	0.036	0	0.872	0.026	0
1400000US42077005601	1073.543	1887.421	136.144	1173.828	1611.22	0
1400000US42077005602	694.04	1047.645	90.995	795.195	929.27	0
1400000US42077005702	793.49	1059.895	96.195	889.42	869.42	0
1400000US42077005703	718.067	573.63	54.36	735.294	484.739	0
1400000US42077005704	42.067	33.63	2.36	39.294	30.739	0
1400000US42077005705	256.06	419.301	21.704	261.347	349.109	0
1400000US42077005800	634	777	78	735	642	0
1400000US42077005901	1221	1305	117	1219	1236	0
1400000US42077005902	303	311	20	295	291	0
1400000US42101006000	3174.861	263.894	0	3014.477	215.644	0
1400000US42077006001	827.07	1462.905	88.762	915.289	1312.445	0
1400000US42077006002	591.17	1140.901	49.79	659.489	1034.805	0
1400000US42101006100	961.064	70.016	0	999.112	62.704	0
1400000US42077006101	851.168	1359.266	70.582	949.512	1283.84	0
1400000US42077006102	443.068	752.27	48.554	491.312	670.48	0
1400000US42101006200	1348.764	47.404	0	1320.82	38.4	0
1400000US42077006202	1013.28	1770.24	110.04	1876	2746.56	0
1400000US42077006203	867.409	1884.856	103.064	584.254	1152.005	0
1400000US42077006204	860.689	1652.096	97.104	1482.254	2125.565	0
1400000US42101006300	1084.228	52.25	0	1110.469	56.983	0
1400000US42077006302	934.957	1832.082	103.151	1261.799	1703.434	0
1400000US42077006303	611	944	73	582	847	0
1400000US42077006304	620.604	1236.917	74.377	666.486	1282.072	0
1400000US42077006305	1219.883	2477.916	139.117	1280.107	2381.948	0
1400000US42077006307	1209.627	2475.121	137.574	1297.217	2495.574	0
1400000US42077006308	645.806	1056.486	57.886	414.791	696.767	0
1400000US42101006400	1308.241	60.968	0	1274.996	50.048	0
1400000US42077006401	532.525	932.673	70.942	571.375	831.175	0
1400000US42077006402	359.105	736.633	51.715	411.527	663.033	0
1400000US42077006500	1026.294	1363.001	127.976	1093.822	1177.777	0
1400000US42101006500	2215.797	39.942	0	2235.256	22.099	0
1400000US42077006600	1527.542	2386.089	189.368	1681.974	2120.313	0
1400000US42101006600	1311.026	63.006	0	1444.283	44.174	0
1400000US42101006700	1614.881	80.764	0	1684.676	60.211	0
1400000US42077006701	586.979	818.953	75.409	673.943	689.321	0
1400000US42077006702	785.915	1171.696	93.829	902.351	1008.908	0
1400000US42077006703	1166.936	2536.743	111.42	1236.408	2370.587	0
1400000US42077006800	1084	792	89	1091	659	0
1400000US42101006900	1023.136	18.129	0	1171.186	12.238	0.297
1400000US42077006902	373.337	738.932	62.336	425.298	602.374	0
1400000US42077006903	359.798	697.679	53.556	364.194	614.63	0
1400000US42077006905	335.242	769.122	51.082	806.607	1521.847	0
1400000US42077006906	692.703	1461.869	104.302	1168.503	2132.103	0
1400000US42077007000	755	1326	99	612	1344	0
1400000US42101007000	1904.426	29.735	0	2205.728	19.908	2.031
1400000US42101007101	1496.417	57.539	0	1650.998	44.461	1.734
1400000US42101007102	2443.888	44.619	0	2679.583	26.72	5.538
1400000US42101007200	1928.814	22.596	0	2142.694	9.313	7.982
1400000US42101007300	2252.05	41.989	0	2319.315	18.297	15.191
1400000US42101007400	1991.769	41.225	0	2065.122	34.847	12.705
1400000US42101007700	254.644	27.96	0	212.024	21.102	6.584
1400000US42101007800	2938.385	137.89	0	2633.715	143.411	64.07
1400000US42101007900	2539.535	131.767	0	2279.833	114.392	74.396
1400000US42101008000	2363.212	49.46	0	2389.112	36.208	29.876
1400000US42101008101	1445.72	16.536	0	1544.056	12.512	3.512
1400000US42101008102	2533.45	31.791	0	2683.986	16.767	6.767
1400000US42101008200	3388.936	74.464	0	3623.503	16.952	0
1400000US42101008301	2520.446	51.882	0	2691.387	16.309	0
1400000US42101008302	2622.98	53.069	0	2798.326	19.178	0.255
1400000US42101008400	2096	31	0	2349	15	3
1400000US42101008500	3009.24	65.984	0	3093.943	35.628	16.267
1400000US42101008601	1591.298	89.884	0	1387.38	66.21	41.603
1400000US42101008602	1303.373	62.691	0	1205.864	35.006	12.744
1400000US42101008701	1538.546	127.844	0	1284.225	125.321	46.266
1400000US42101008702	1303.663	160.444	0	1073.098	143.152	39.624
1400000US42101008801	862.389	142.872	0	565.37	141.459	25.68
1400000US42101008802	1463.844	248.244	0	1037.861	229.034	39.72
1400000US42101009000	690.619	110.792	0	623.815	108.802	24.562
1400000US42077009100	1166.058	1116.083	110.936	1178.603	1041.591	0
1400000US42101009100	772.742	84.905	0	594.202	43.366	16.955
1400000US42077009200	895.818	827.08	93.49	875.228	773.736	0
1400000US42101009200	1438	74	0	1181	32	28
1400000US42077009300	444.394	353.759	35.38	472.711	327.755	0
1400000US42101009300	1893.078	32.736	0	2012.238	26.044	12.868
1400000US42077009400	685.727	604.321	66	762.919	549.715	0
1400000US42101009400	1746.976	25.978	0	1818.508	13.218	5.013
1400000US42077009500	654.643	432.794	47.874	616.6	408.32	0
1400000US42101009500	1256.366	21.316	0	1398.384	7.88	1.967
1400000US42077009600	1071.526	525.406	46.032	1014.8	445.195	0
1400000US42101009600	1933.187	37.498	0	2145.208	26.71	0
1400000US42077009700	2207.844	699.596	88.294	2074.753	601.217	0
1400000US42101009801	975.797	45.486	0	958.463	43.481	0
1400000US42101009802	1469.759	77.207	0	1426.093	60.767	0
1400000US42101010000	1380.209	76.642	0	1323.944	47.304	0
1400000US42011010100	416	1768	73	525	1617	0
1400000US42021010100	709.024	1276.004	0	1228.028	657.019	0
1400000US42027010100	455	1417	0	506	1106	0
1400000US42041010100	857.154	1420.863	0	798.985	1080.809	164.594
1400000US42055010100	379	1329	0	374	1104	0
1400000US42073010100	0	1801	0	506	1314	69
1400000US42081010100	181	895	0	178	798	2
1400000US42095010100	787.494	744.534	33.148	824.454	678.852	0
1400000US42101010100	2385.578	56.072	0	2589.034	24.404	0
1400000US42013010101	490.378	1377.468	0	426.976	1220.652	0
1400000US42049010101	0	1084	0	562	656	96
1400000US42071010101	552	2214	108	511	1955	122
1400000US42013010102	316.811	695.206	0	296.4	593.385	1
1400000US42071010102	439	1160	77	389	1065	86
1400000US42013010103	418.811	829.206	0	358.4	817.385	3
1400000US42049010103	0	579.576	0	320.784	336.528	67.896
1400000US42049010104	0	866	0	456	515	79
1400000US42049010107	0	482	0	303	277	43
1400000US42133010110	1290.715	2224.977	0	1144.725	1902.179	176.472
1400000US42133010120	780.459	1271.657	0	691.041	1059.185	119.325
1400000US42133010130	852.444	1468.296	0	768.768	1278.352	110.508
1400000US42021010200	354.907	395.848	0	390.843	129.928	0
1400000US42027010200	319	1021	0	384	788	0
1400000US42055010200	484	1495	0	408	1386	0
1400000US42081010200	127	463	0	142	378	0
1400000US42095010200	1244.366	1687.976	62.726	1333.732	1589.408	0
1400000US42101010200	1642.92	25.232	0	1860.044	6.428	4.486
1400000US42011010201	566	1507	102	710	1282	0
1400000US42041010201	759.26	1591.887	0	714.087	1276.925	121.165
1400000US42049010201	11.421	2088.042	0	1278.111	1159.458	181.593
1400000US42071010201	727.92	2217.456	79.272	470.168	1921.16	133.496
1400000US42073010201	0	1891.41	0	776.475	1375.255	59.44
1400000US42011010202	676	1603	63	678	1402	0
1400000US42049010202	434.421	1966.042	0	672.111	692.458	94.593
1400000US42071010202	536.92	1767.456	73.272	465.168	1613.16	116.496
1400000US42073010202	0	2157	0	654	1613	77
1400000US42041010203	703.296	791.208	0	575.424	720.279	80.919
1400000US42041010204	1366.45	2154.529	0	1173.213	1858.792	170.176
1400000US42133010210	1076.377	1732.076	0	975.931	1456.193	164.356
1400000US42133010220	1614.218	2342.843	0	1514.274	2077.744	224.907
1400000US42003010300	770.034	247.131	0	250.638	95.179	0
1400000US42021010300	414	779	0	639	268	0
1400000US42027010300	380	781	0	438	871	0
1400000US42041010300	844.048	1320.297	0	775.687	1090.397	160.686
1400000US42055010300	1325	2893	0	1264	2585	0
1400000US42071010300	1092	3324	137	829	2878	233
1400000US42073010300	0	582	0	289	412	22
1400000US42081010300	291	1760	0	334	1494	2
1400000US42095010300	1187.086	1454.336	63.046	1218.492	1398.528	0
1400000US42101010300	826.317	15.44	0	896.864	2.476	3.718
1400000US42133010300	671.09	609.03	0	641.892	450.63	80.812
1400000US42049010301	97	136	0	100	115	0
1400000US42011010302	448	1063	0	458	964	0
1400000US42011010303	311.86	532.66	0	331.76	479.34	0
1400000US42049010303	0	2303.79	0	1156.618	1538.446	156.707
1400000US42011010304	741.86	1359.66	0	744.76	1266.34	0
1400000US42049010304	0	3572.79	0	1721.618	2711.446	221.707
1400000US42011010400	926	2695	73	969	2305	0
1400000US42027010400	475	1312	0	503	960	0
1400000US42041010400	894.135	1315.63	0	767.724	1220.939	108.958
1400000US42049010400	0	1841.273	0	1066.294	1212.225	132.377
1400000US42055010400	1429.16	2722.959	0	1221.057	2644.151	0
1400000US42071010400	672	1442	109	568	1262	147
1400000US42073010400	0	1147	0	570	723	83
1400000US42081010400	483	2073	0	482	1873	2
1400000US42095010400	1256.214	1167.894	62.468	1216.214	1063.972	0
1400000US42101010400	1140.569	14.174	0	1198.926	17.392	3.15
1400000US42133010400	1121.278	1582.052	0	1016.432	1307.46	192.086
1400000US42013010401	281	500	0	247	458	1
1400000US42013010402	1094	2089	0	952	1933	6
1400000US42011010500	1064	1958	0	1047	1782	0
1400000US42013010500	970.406	1461.69	0	803.353	1493.708	3.848
1400000US42021010500	494.151	949.096	0	914.425	560.762	0
1400000US42027010500	559	2127	0	598	1822	0
1400000US42041010500	962.135	1211.63	0	775.724	1121.939	116.958
1400000US42049010500	0	332.548	0	260.219	201.5	30.252
1400000US42055010500	963.16	1922.959	0	768.057	1851.151	0
1400000US42073010500	0	1034	0	525	596	59
1400000US42081010500	468	2211	0	503	1966	5
1400000US42095010500	976.854	246.804	16.014	944.826	227.964	0
1400000US42101010500	1585	33	0	1634	7	11
1400000US42071010501	410.842	1894.954	70.45	342.192	1592.424	117.894
1400000US42071010502	375.842	1737.954	48.45	317.192	1411.424	88.894
1400000US42133010510	1012.776	1586.07	0	849.283	1364.006	169.548
1400000US42133010520	520.994	748.252	0	480.025	629.706	87.674
1400000US42011010600	1624	2811	0	1380	2563	0
1400000US42013010600	533.34	821.928	0	510.474	746.325	1.86
1400000US42021010600	179.693	337.453	0	0.883	0.601	0
1400000US42027010600	385	1449	0	379	1216	0
1400000US42041010600	978	1263	0	790	1126	153
1400000US42055010600	1046.878	1968.118	0	1005.978	1871.242	0
1400000US42071010600	1439.966	3674.024	170.454	979.374	3320.424	294.992
1400000US42073010600	0	1118.428	0	793.43	645.321	64.372
1400000US42081010600	419.818	1709.192	0	403.856	1363.994	1
1400000US42095010600	2865.272	1800.714	97.634	2869.082	1629.45	0
1400000US42101010600	663.481	9.958	0	685.993	10.663	4
1400000US42011010700	1321	2317	0	1253	2162	0
1400000US42013010700	1248.484	2177.546	0	1092.023	2060.245	2.848
1400000US42021010700	417	1096	0	831	600	0
1400000US42027010700	696	2242	0	649	1871	0
1400000US42041010700	883.096	1396.04	0	797.632	1318.424	143.88
1400000US42049010700	0	1226.798	0	955.924	666.828	118.413
1400000US42055010700	2791.878	5618.118	0	2512.978	5497.242	0
1400000US42073010700	0	648.588	0	714.93	560.031	52.774
1400000US42081010700	660.818	2232.192	0	645.856	1909.994	0
1400000US42095010700	1037.462	618.064	70.698	1141.926	604.854	0
1400000US42101010700	1371.036	20.957	0	1556.557	14.661	0
1400000US42071010701	981.263	1707.605	138.237	730.445	1606.788	177.955
1400000US42071010702	1235.229	2087.629	155.691	882.819	1892.212	201.947
1400000US42013010800	473	1073	0	347	1100	2
1400000US42027010800	587	1369	0	595	1164	0
